review_id,review_score,review_comment_message,clean_review,sentiment
14c3c20c1d367f82ce9800a9a4575bab,5,"GOSTARIA DE RECEBER 1 COPIA DA NF, DEVE TER EXTRAVIADO
",gostaria receber copia nf deve ter extraviado,1
5142952a245dd6d9675db172d8c17a03,1,Comprei o relogio para o dia das mães e até hoje o mesmo não chegou. ,comprei relogio dia maes ate hoje nao chegou,0
1b0193dec8f270afea83302dc238f7e6,1,Efetuei a compra e pagamento de duas unidades e recebi apenas uma unidade. Aguardando tratativa.,efetuei compra pagamento duas unidades recebi apenas unidade aguardando tratativa,0
6985025ef4acf302504a1446012032a4,1,Recebi o produto errado. Solicitei a troca,recebi produto errado solicitei troca,0
acf390bcd82cfecbc91b8b6a1b0f45e8,5,O produto é otimo e correu tudo bem.,produto otimo correu tudo bem,1
fc7eeba261cf351edc5b8ce5d3c034bc,1,"Solicitei o carregador para o tablet. Génesis. Conforme a informação do vendedor ,solicitei o produtos não se adaptou ao meu tablet. ",solicitei carregador tablet genesis conforme informacao vendedor solicitei produtos nao adaptou tablet,0
5b398e3ab1017dc420fb2b1fbb980e33,5,Muito bonito! Qualidade excelente pelo preço... recomendo! ,bonito qualidade excelente preco recomendo,1
3a0a78ddf125ee7425670f1ba1ba103c,1," Infelizmente recebi a cadeira no período correto mas veio faltando uma peça , já envie e-mail para a loja e até o momento não recebi a resposta. ( já se passaram 24h). ",infelizmente recebi cadeira periodo correto veio faltando peca ja envie mail loja ate momento nao recebi resposta ja passaram,0
576be0983fe6b22998548de842b9efff,1,"Nunca tive problema com as lojas lannister, mais dessa vez me mandaram o produto errado e inferior quero cancelar .",nunca problema lojas lannister dessa vez mandaram produto errado inferior quero cancelar,0
463c6dabaea95dfc1a6b4eda6c34f217,5,Produto chegou sem nenhum problema e até antes do prazo!,produto chegou nenhum problema ate antes prazo,1
151de97880159f443a71eb8c8b03e4a9,4,Ainda não tenho nem uma opinião específico só achei bem pouquinho o conteúdo mais de certa forma eu já sabia. ,ainda nao opiniao especifico so achei bem pouquinho conteudo certa forma ja sabia,1
b079fe16cd076f5cea0da11ec70dd298,1,"Fiz a compra de 2 controles remotos da Samsung e me entregaram controles falsos.
Não recomendo pra ninguém.
Propaganda enganosa.",fiz compra controles remotos samsung entregaram controles falsos nao recomendo pra ninguem propaganda enganosa,0
dbcefd7dc8deb9e869ddccf0a356ce76,2,"nao é do tam. do tablet q comprei e quero desistir da compra, ja mandei de volta com 3 dias de recebido e conforme a lei posso cancelar ate 7 d. mas querem q eu pague o frete, nao cumprem a lei ",nao tam tablet comprei quero desistir compra ja mandei volta dias recebido conforme lei posso cancelar ate querem pague frete nao cumprem lei,0
ace3f5241fb6401ec2dc81daff3261c2,5,amei o produto muito lindo,amei produto lindo,1
1f6cb0a32c3185a692e90d9c41f5a35b,1,"A entrega foi direitinha, mas o produto é péssimo!",entrega direitinha produto pessimo,0
dfb1b7ce95d31287238ca301de1d3f5e,1,"a pulseira é muito dificil de abrir!
",pulseira dificil abrir,0
698491709f60fe4155b86134b7456e50,1,produto nao entregue !,produto nao entregue,0
0e222f5f295398a90bd9401757595d2e,5,Muito bom goste,bom goste,1
9da7e59722cb096fc3447779c185b8bd,5,Adorei!!!,adorei,1
c91d4ae7473872e0696bcb22a5a92df0,5,"Produto de ótima qualidade, sabor ótimo. Entregue antes do prazo",produto otima qualidade sabor otimo entregue antes prazo,1
65172425abbfdcccee4d4f399e85006d,1,Recebi o prod que pedi. Não serviu pq pedi pelas medidas erradas fornecidas no site.Pedi troca por numero menor. Não me deram atenção. Pedi cancelamento. Se não for possivel fico com o prejuizo.,recebi prod pedi nao serviu pq pedi medidas erradas fornecidas site pedi troca numero menor nao deram atencao pedi cancelamento nao possivel fico prejuizo,0
e627d79775c872ef03f21124b4bcedb4,1,Até agora eles só emitiram a nota fiscal e nada do meu produto chegar. Pedi em novembro.,ate agora so emitiram nota fiscal nada produto chegar pedi novembro,0
72f16302f142002e7c029cc6faad0ae2,5,"Produto muito bonito , muito bem acabado pintura linda conforme o que descreve no anuncio . Entrega dentro do prazo e muito bem embaladas com NF .",produto bonito bem acabado pintura linda conforme descreve anuncio entrega dentro prazo bem embaladas nf,1
503c899cd1ed3f9cb751a8add17f9af3,1,Não gostei não véi igual da foto é o material e muito ruim e também veio com defeito mal custura,nao gostei nao vei igual foto material ruim tambem veio defeito mal custura,0
c9679ee2e8ca92a3cc5ef3f282fd3528,1,"Estourou o prazo da entrega e ninguém ç, sequer me dá uma satisfação. Desapontada.",estourou prazo entrega ninguem sequer satisfacao desapontada,0
